MouseNo,Condition,Sex,Week,SpecSlope,nmol.minmg,Complex
EQ6-M2,Young,M,Y,-0.002463415,266.3150991,CIV
EQ6-M2,Young,M,Y,0.036863382,2710.54277,CS
EQ6-M3,Young,M,Y,-0.00228965,73.85966667,CI
EQ6-M3,Young,M,Y,-0.002511127,65.73631763,CII
EQ6-M3,Young,M,Y,6.18E-05,4.177927928,CIII
EQ6-M3,Young,M,Y,-0.002529934,273.5063423,CIV
EQ6-M3,Young,M,Y,0.042834225,3149.575343,CS
EQ6-M4,Young,M,Y,-0.004172495,134.5966022,CI
EQ6-M4,Young,M,Y,-0.002047735,53.605637,CII
EQ6-M4,Young,M,Y,5.36E-05,3.621621622,CIII
EQ6-M4,Young,M,Y,-0.002379949,257.2917838,CIV
EQ6-M4,Young,M,Y,0.040974663,3012.842843,CS
EQ6-M5,Young,M,Y,-0.007372344,237.8175484,CI
EQ6-M5,Young,M,Y,-0.004816023,126.0739092,CII
EQ6-M5,Young,M,Y,6.91E-05,4.668918919,CIII
EQ6-M5,Young,M,Y,-0.002238835,242.0361622,CIV
EQ6-M5,Young,M,Y,0.040211357,2956.717451,CS
EQ6-M6,Young,M,Y,-0.005170554,166.7920645,CI
EQ6-M6,Young,M,Y,-0.002788173,72.98881326,CII
EQ6-M6,Young,M,Y,6.16E-05,4.162162162,CIII
EQ6-M6,Young,M,Y,-0.001702883,184.0954054,CIV
EQ6-M6,Young,M,Y,0.041586453,3057.827426,CS
EQ6-M7,Young,M,Y,-0.003436685,110.8608065,CI
EQ6-M7,Young,M,Y,-0.002875921,75.28589878,CII
EQ6-M7,Young,M,Y,5.01E-05,3.387387387,CIII
EQ6-M7,Young,M,Y,-0.002571429,277.9923243,CIV
EQ6-M7,Young,M,Y,0.037333843,2745.13549,CS
EQ6-M8,Young,M,Y,-0.006203149,200.1015699,CI
EQ6-M8,Young,M,Y,-0.002665624,69.78073298,CII
EQ6-M8,Young,M,Y,5.34E-05,3.608108108,CIII
EQ6-M8,Young,M,Y,-0.002023124,218.7160541,CIV
EQ6-M8,Young,M,Y,0.040520117,2979.420392,CS
EQ6-M9,Young,M,Y,-0.010565934,340.8365699,CI
EQ6-M9,Young,M,Y,-0.00184722,48.35655323,CII
EQ6-M9,Young,M,Y,6.38E-05,4.308558559,CIII
EQ6-M9,Young,M,Y,-0.001923345,207.9291892,CIV
EQ6-M9,Young,M,Y,0.039417495,2898.345184,CS
