Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ5-Q4,Control,F,0,32.3,0.8,3.5,0.7,1.8,85.42,47.37,44,8,4,0.86
EQ5-Q5,Control,F,0,24.7,0.5,3.7,0.6,1.8,87.5,50,44,16,12,0.91
EQ5-R1,Pers,F,0,27.4,0.5,4.3,0.6,2.4,83.07,44.68,44,20,12,1.03
EQ5-R2,Pers,F,0,26,0.5,4.1,0.5,2.3,82.85,44.44,36,8,8,1.105
EQ5-R3,Pers,F,0,35.8,0.8,3.7,0.5,2.3,77.33,39.02,48,20,4,0.97
EQ5-R4,Pers,F,0,27.4,0.7,3.7,0.5,1.8,88.39,51.22,44,8,12,1.1
EQ5-R5,Pers,F,0,24.9,0.9,3.5,0.6,1.8,85.42,47.37,44,12,0,0.97
EQ5-S1,Pers,F,0,26.9,0.4,4,0.3,2.2,83.77,45.45,48,20,12,1.1
EQ5-S2,Pers,F,0,31.2,0.5,4.6,0.4,2.1,90.27,54,52,20,4,1.06
EQ5-S3,Pers,F,0,30.8,0.5,4.4,0.5,2.3,85.87,47.92,36,16,7,1.07
EQ5-T1,Rapa,F,0,26.8,0.5,4.2,0.6,2.4,81.94,43.48,56,20,12,1.04
EQ5-T2,Rapa,F,0,28,0.5,3.8,0.5,2.2,81.34,42.86,40,16,12,0.97
EQ5-T3,Rapa,F,0,24.4,0.5,3.6,0.5,1.9,84.39,46.15,48,16,8,1.08
EQ5-A1,Control,F,8,33.2,0.6,4,0.5,2.2,83.77,45.45,44,8,12,1.07
EQ5-A2,Control,F,8,,,,,,,,,,,
EQ5-A3,Control,F,8,29.9,0.5,3.7,0.7,1.8,88.39,51.22,52,0,16,0.94
EQ5-B1,Rapa,F,8,36.5,0.5,4.2,0.5,2.4,81.94,43.48,44,8,0,1.17
EQ5-B2,Rapa,F,8,28.6,0.4,4.1,0.5,2.3,82.85,44.44,44,12,8,1.18
EQ5-B3,Rapa,F,8,30.5,0.5,4,0.5,2.1,85.72,47.73,40,8,8,1.16
EQ5-C1,Pers,F,8,35,0.4,4,0.5,2.4,79.37,40.91,44,12,4,1.1
EQ5-C2,Pers,F,8,35.5,0.5,3.7,0.6,2,84.55,46.34,40,12,0,1.13
EQ5-C3,Pers,F,8,31.6,0.6,3.9,0.3,2.1,84.7,46.51,48,8,0,1.12
EQ5-D1,Control,F,8,31.5,0.6,3.6,0.7,1.8,86.51,48.72,48,12,8,1
EQ5-D2,Control,F,8,31.9,0.5,4,0.5,2.1,85.72,47.73,56,24,24,0.9
EQ5-D3,Control,F,8,27.4,0.3,3.8,0.5,1.9,87.5,50,40,12,12,1
EQ5-D4,Control,F,8,26.2,0.5,5.4,0.6,3,82.5,44.07,48,12,12,0.97
EQ5-E1,Rapa,F,8,,,,,,,,,,,
EQ5-E2,Rapa,F,8,27.7,0.5,3.3,0.5,1.8,82.85,44.44,48,8,0,1.14
EQ5-E3,Rapa,F,8,27.6,0.3,4.1,0.5,2.3,82.85,44.44,40,24,20,1.11
EQ5-E4,Rapa,F,8,,,,,,,,,,,
EQ5-F1,Control,F,8,27.8,0.5,3.8,0.7,1.8,89.2,52.38,44,8,12,0.84
EQ5-F2,Control,F,8,33.4,0.7,3.5,0.6,1.6,89.37,52.63,48,16,12,1.03
EQ5-F3,Control,F,8,33.6,0.5,4,0.5,2.2,83.77,45.45,44,12,4,0.97
EQ5-F4,Control,F,8,,,,,,,,,,,
EQ5-G1,Control,F,8,,,,,,,,,,,
EQ5-G2,Control,F,8,26,0.6,3.6,0.6,1.9,84.39,46.15,40,12,12,0.92
EQ5-G3,Control,F,8,32.9,0.5,4.4,0.5,2.3,85.87,47.92,48,8,4,1
EQ5-H1,Rapa,F,8,30,0.5,3.7,0.8,2,84.55,46.34,44,20,8,1.23
EQ5-H2,Rapa,F,8,25.6,0.5,3.8,0.4,1.8,89.2,52.38,56,12,8,1.03
EQ5-H3,Rapa,F,8,33.1,0.5,4.2,0.5,2.3,83.95,45.65,48,8,12,1.21
EQ5-I1,Pers,F,8,32.3,0.5,3.7,0.5,2.2,79.94,41.46,44,16,4,1.21
EQ5-I2,Pers,F,8,24.3,0.5,3,0.5,1.4,90.61,54.55,44,8,4,1.34
EQ5-I3,Pers,F,8,27.4,0.5,4,0.5,2.1,85.72,47.73,44,8,12,1.24
EQ5-J1,Rapa,F,8,27.4,0.5,3.9,0.6,2.1,84.7,46.51,48,8,0,1.225
EQ5-J2,Rapa,F,8,32.6,0.5,4.4,0.5,2.5,82.2,43.75,44,8,4,1.14
EQ5-J3,Rapa,F,8,27.1,0.5,4.3,0.5,2.5,81.04,42.55,44,16,8,1.21
EQ5-J4,Rapa,F,8,24.6,0.5,4,0.5,2.4,79.37,40.91,44,12,12,1.25
EQ5-K1,Control,F,8,,,,,,,,,,,
EQ5-K2,Control,F,8,31.6,0.5,4.6,0.5,2.8,76.17,38,48,20,12,1.17
EQ5-K3,Control,F,8,29.74,0.4,4.4,0.4,2.5,82.2,43.75,48,16,28,1.07
EQ5-K4,Control,F,8,28.6,0.5,3.6,0.6,2,82.05,43.59,40,8,12,1.03
EQ5-L1,Control,F,8,29.4,0.4,4.5,0.5,2.6,81.83,42.86,40,12,8,0.97
EQ5-L2,Control,F,8,32.6,0.4,4.1,0.5,2.3,82.85,44.44,40,8,0,0.97
EQ5-L3,Control,F,8,27.4,0.4,4.3,0.5,2.3,84.95,46.81,40,12,8,1.07
EQ5-M1,Rapa,F,8,37.4,0.5,3.7,0.4,1.9,85.53,47.5,44,8,8,1.22
EQ5-M2,Rapa,F,8,28,0.5,3.7,0.4,2.3,75.59,37.5,40,12,0,1.11
EQ5-N1,Pers,F,8,26.4,0.5,4.1,0.6,2.2,84.83,46.47,44,12,8,1.195
EQ5-N2,Pers,F,8,29.4,0.4,3.7,0.5,2.2,78.4,40,40,12,12,1.23
EQ5-N3,Pers,F,8,28.9,0.6,3.9,0.5,2.1,84.7,46.51,40,12,12,1.21
EQ5-N4,Pers,F,8,30.1,0.5,4.3,0.5,2.3,84.95,46.81,48,12,12,1.17
EQ5-O1,Rapa,F,8,26.5,0.5,4.5,0.5,2.6,79.27,40.82,40,12,4,1.29
EQ5-O2,Rapa,F,8,30.9,0.5,4,0.5,2.6,74.23,36.36,60,20,20,1.22
EQ5-O3,Rapa,F,8,29.2,0.6,3.7,0.5,1.9,85.53,47.5,44,4,0,1.15
EQ5-O4,Rapa,F,8,25,0.5,4.5,0.4,2.6,79.27,40.82,44,8,0,1.18
EQ5-P1,Rapa,F,8,31.6,0.5,4.9,0.5,3,77.18,38.89,52,12,12,1.18
EQ5-P2,Rapa,F,8,31.1,0.4,3.9,0.5,2.1,84.7,46.51,48,8,4,1.17
EQ5-P3,Rapa,F,8,,,,,,,,,,,
EQ5-Q1,Control,F,8,31,0.5,3.2,0.5,1.6,86.4,48.57,48,4,4,0.89
EQ5-Q2,Control,F,8,,,,,,,,,,,
EQ5-Q3,Control,F,8,26.9,0.5,4,0.6,2.3,81.66,43.18,48,8,4,1
EQ5-Q4,Control,F,8,36,0.5,3.8,0.5,2,85.63,47.62,44,8,0,1
EQ5-Q5,Control,F,8,,,,,,,,,,,
EQ5-R1,Pers,F,8,28.4,0.5,4.5,0.4,2.9,72.15,34.69,68,20,20,1.21
EQ5-R2,Pers,F,8,26.9,0.4,3.9,0.4,2.2,82.61,44.19,48,20,12,1.1
EQ5-R3,Pers,F,8,35.5,0.5,4.2,0.5,2.4,81.94,43.48,48,8,8,1.18
