Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ5-S2,Pers,F,16,32.9,0.4,3.9,0.5,2.3,80.35,41.86,48,8,0,1.11
EQ5-S3,Pers,F,16,,0.5,4,0.5,2.3,81.66,43.18,44,8,0,1.16
EQ5-T1,Rapa,F,16,26.9,0.3,4.2,0.4,2.3,83.95,45.65,56,12,0,1.27
EQ5-T2,Rapa,F,16,28.2,0.5,3.3,0.5,1.8,82.85,44.44,48,8,0,1.15
EQ5-T3,Rapa,F,16,,,,,,,,,,,
EQ6-M1,Young,M,Young,27.2,0.5,3.5,0.7,1.9,87.5,50,12,44,20,1.17
EQ6-M2,Young,M,Young,30.9,0.7,3.9,0.8,2,86.61,48.84,0,40,16,1.15
EQ6-M3,Young,M,Young,31.1,1,3.6,0.9,1.6,90.17,53.85,4,48,8,1.21
EQ6-M4,Young,M,Young,30.1,0.6,4.1,0.7,2.3,82.85,44.44,,,,
EQ6-M5,Young,M,Young,29.9,0.8,4.1,0.5,2,88.31,51.11,8,48,12,1.14
EQ6-M6,Young,M,Young,28.5,0.5,3.7,0.7,1.5,94.06,60.98,0,48,12,1.24
EQ6-M7,Young,M,Young,29.3,0.8,4,0.8,2.3,81.66,43.18,16,44,16,
EQ6-M8,Young,M,Young,29.6,0.6,4.2,0.5,2.3,83.95,45.65,8,44,16,1.19
EQ6-M9,Young,M,Young,30.6,0.7,4.2,0.8,2.4,81.94,43.48,8,44,24,1.19
EQ6-M10,Young,M,Young,28.5,,,,,,,,,,1.17
EQ6-F1,Young,F,Young,22.1,,,,,,,,,,1.22
EQ6-F2,Young,F,Young,21.4,0.8,3.6,0.5,1.9,84.39,46.15,16,48,12,1.17
EQ6-F3,Young,F,Young,21.4,0.7,3.3,0.6,1.6,89.47,52.78,,,,1.23
EQ6-F4,Young,F,Young,22.3,0.9,3.7,0.5,2,84.55,46.34,12,52,8,1.23
EQ6-F5,Young,F,Young,23.5,0.7,3.7,0.5,1.9,86.56,48.78,12,48,16,1.3
EQ6-F6,Young,F,Young,20.8,0.5,3.7,0.6,1.6,90.89,55,,,,1.25
EQ6-F7,Young,F,Young,21.9,0.8,4.1,0.6,2,88.31,51.11,8,52,12,1.31
EQ6-F8,Young,F,Young,18.8,,,,,,,,,,1.14
EQ6-F9,Young,F,Young,21.1,,,,,,,16,52,8,1.16
EQ6-F10,Young,F,Young,16.8,0.7,3.5,0.5,2,80.59,42.11,12,48,12,1.2
