"","Control16","Rapa16","Pers16"
"Cyfip2",0.680586206978505,0.467544634644439,-1.14813084162294
"Tln1",0.214445873513211,0.875380607659894,-1.0898264811731
"Msn",-0.0807782544363535,1.03793920375953,-0.957160949323178
"Actn1",-0.169789014747112,1.07402481620723,-0.90423580146012
"Myh7",-1.05779986627486,0.929891930790327,0.127907935484537
"Myh6",-0.937980820015238,1.0522090533676,-0.11422823335236
"Actn2",-0.942361751748441,1.04907857151871,-0.106716819770266
"Ptk2",-0.96606744704038,1.03078847322727,-0.0647210261868868
"Tln2",-0.964172424536348,1.03233947379669,-0.0681670492603459
"Fgf1",-0.817862050066741,-0.296991244267911,1.11485329433465
"Apc2",-1.14270821288639,0.427606218975265,0.715101993911127
"Pygm",-0.489959667681397,1.15049330311333,-0.66053363543193
"Gnai2",-0.196086412570686,1.08351902491504,-0.887432612344352
"Pdia3",-0.129074027054845,1.05826983559525,-0.929195808540402
"Chp1",-1.1317731596021,0.367601087635796,0.7641720719663
"Ryr2",-0.973978416270388,1.02413400563357,-0.0501555893631808
"Flnc",-0.974846463606154,1.02338571117634,-0.048539247570182
"Prkaca",-0.817433880890736,1.11501106315837,-0.297577182267637
"Dusp3",-0.919848363565387,1.06441507587007,-0.144566712304686
"Pygb",-0.872743382856147,1.09115351826859,-0.218410135412445
"Ywhaq",0.694242634254223,-1.14619601550507,0.451953381250842
"Nfkb2",0.165760327801689,-1.07252284451608,0.906762516714393
"Akap12",0.487539804588875,-1.15026243078327,0.662722626194397
"Tnni3",0.919171868420346,-1.06484811478029,0.145676246359939
"Pgp",0.918350721511974,-1.06537166907849,0.147020947566513
"Prkag1",0.98416181310455,-1.0151192839397,0.0309574708351527
"Cnga2",1.08878290204803,-0.211354149575798,-0.877428752472228
"Ywhaz",1.03192375403491,-0.964682307122742,-0.0672414469121679
"Ywhae",1.06461658389943,-0.919533868280522,-0.145082715618913
"Ppp1r11",1.14064394787039,-0.725880767129237,-0.414763180741154
"Ywhag",1.09670992617065,-0.861277482855112,-0.23543244331554
"Ppp2r1a",-0.321244169245505,1.12114362930269,-0.79989946005718
"Ilk",-1.1415840392302,0.420494278344192,0.721089760886013
"Dsp",-1.07799040959541,0.897397921884564,0.180592487710843
"Vim",-0.791179286699241,1.1239621457298,-0.332782859030553
"Parva",-0.907489255355491,1.07208712060602,-0.164597865250529
"Ppp2r5a",-0.942053966905153,1.04930091730979,-0.107246950404638
"Vcl",0.615085112546088,-1.15385971209769,0.538774599551607
"Naca",1.06759256821554,-0.91482722933166,-0.152765338883879
"Fblim1",1.07690461861723,-0.899294839785074,-0.17760977883216
"Sema6a",0.528484025918462,-1.15335869583149,0.624874669913023
"Dpysl2",0.853071239031455,-1.10048079225087,0.247409553219417
"Gli2",1.1088084284945,-0.833524083971105,-0.2752843445234
"Tuba8",-0.93466987801208,1.05452670014772,-0.119856822135636
"Adam9",-0.676582813410538,-0.472064547458153,1.14864736086869
"Ablim1",-1.14690907586515,0.689427288066445,0.457481787798704
"Cttn",1.11072296947647,-0.828712657788627,-0.282010311687846
"Zyx",1.07265143574789,-0.90654750686129,-0.166103928886602
"Itga2b",0.455350043792611,-1.14663761809571,0.691287574303099
"Capn7",1.02302095876963,-0.0477529043107819,-0.97526805445885
"Itgav",-0.823867088842085,1.11259913151816,-0.288732042676076
"Capn2",-1.10531656752919,0.841978978079946,0.263337589449245
"Arf5",-1.04879278162207,0.942756613481738,0.106036168140333
"Clip1",-0.984204576029042,1.0150803127848,-0.0308757367557563
"Des",-0.627379490141414,1.15321117512025,-0.525831684978829
"Stmn1",1.07651017183576,-0.899979272903767,-0.176530898931998
"Cdh13",1.12888583124841,-0.77471080429229,-0.354175026956124
"Pard6a",0.694190283488496,-1.14620395018814,0.452013666699647
"Atp2a2",-0.814352533143418,1.11613498456746,-0.301782451424039
"Letm1",-0.976206951946223,1.02220551699982,-0.045998565053599
"Casq2",0.892267985139682,0.188604837202751,-1.08087282234243
"Tpm3",0.500916225492695,0.650548103258078,-1.15146432875077
"Tnnt2",0.966491959231617,-1.0304387880074,0.0639468287757789
"Calr",1.15410368367601,-0.609200177628495,-0.544903506047516
"Tpm2",1.02913025624827,-0.968071673562873,-0.0610585826853971
"Tnnc1",1.07019839293689,-0.910607584945278,-0.159590807991616
"Tpm1",1.07907444970292,-0.895484902184453,-0.183589547518468
"Tpm4",1.08102026991334,-0.89200178781257,-0.189018482100766
"Lamtor3",0.709929380822917,-1.14363458693553,0.433705206112615
"Eif4ebp1",0.93545681754861,-1.05397955536284,0.118522737814228
"Mos",1.10915889590038,-0.83265301327739,-0.276505882622994
