"","catnum","16Control","16Rapa","16Pers"
"Atp5f1",1,-1.04066105476462,0.0870079837475006,0.953653071017119
"Ndufs2",1,-1.131364429393,0.365654976730779,0.765709452662217
"Vdac1",1,-1.14934984065933,0.47851771658351,0.670832124075818
"Ndufb4",1,-1.15066104129799,0.491757941238784,0.658903100059203
"Ndufs1",1,-1.15428796823995,0.550414510081516,0.603873458158432
"Ndufb8",1,-1.15421052709456,0.547975478823074,0.606235048271484
"Ogdh",1,-1.15312619413125,0.52436170526154,0.628764488869711
"Ndufa2",1,-1.15351071237843,0.531370586484481,0.622140125893954
"Atp5o",1,-0.867241944085339,1.09386225961435,-0.226620315529012
"Cpt1b",1,-1.00160195773528,0.998390306220673,0.00321165151460408
"Sdhd",1,-1.07977412472155,0.894239824007073,0.185534300714475
"Uqcrc1",1,-1.04438593892996,0.948741334746149,0.0956446041838123
"Ndufb11",1,-1.14838688777562,0.678623645404263,0.46976324237136
"Cox7a1",1,-1.14481821699411,0.702959625649704,0.441858591344407
"Cox6a2",1,-1.14699594283245,0.688824596028365,0.458171346804082
"Vdac2",1,-1.14626665058304,0.693775665789567,0.452490984793478
"Vdac3",1,-1.10141249816485,0.850985921495823,0.250426576669028
"Cyc1",1,-1.11146524611038,0.826811495372076,0.284653750738303
"Ndufa9",1,-1.1097164486986,0.831258391888728,0.278458056809874
"Ndufa4",1,-1.13598037296796,0.747326307144813,0.388654065823149
"Cox6c",1,-1.13973620409106,0.73033940419351,0.409396799897556
"Ndufa3",1,-1.12344382697063,0.792818161250576,0.330625665720058
"Ndufb7",1,-1.13296015908552,0.759614640001723,0.373345519083803
"Ndufa10",1,-1.13124587456911,0.766152432503514,0.3650934420656
"Ndufa8",1,-1.1302347308144,0.769878421142116,0.360356309672282
"Cox5a",1,0.401190632646727,0.73710642581397,-1.1382970584607
"Ndufab1",1,-0.133106353241901,1.05988696948465,-0.926780616242749
"Txn2",1,1.06521685321817,-0.918593907832126,-0.146622945386048
"Ndufv2",1,1.12702221861909,-0.781147707918726,-0.345874510700365
"Atp5j",1,0.912713431953804,0.15619176647027,-1.06890519842407
"Ndufs6",1,1.10841828517133,-0.27392949861668,-0.834488786554651
"Ndufv3",1,1.09186050681983,-0.220537451960115,-0.871323054859719
"Prdx3",1,1.14389050680882,-0.43543195249754,-0.708458554311283
"Atp5d",1,1.15380617400197,-0.537552297603503,-0.616253876398461
"Myl9",2,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",2,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myl7",2,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Myl3",2,1.08771244707922,-0.208205773887453,-0.879506673191769
"Ppp1r7",2,1.09182041363307,-0.220416522883076,-0.871403890749999
"Myl4",2,1.12481350165951,-0.33636264039256,-0.788450861266957
"Myl2",2,1.10829593899404,-0.27350569950371,-0.834790239490325
"Ywhag",2,1.04762656624084,-0.944359277370532,-0.103267288870312
"Akap12",2,1.08314141080622,-0.888130243069496,-0.19501116773672
"Tnni3",2,1.15469041045661,-0.58153352227179,-0.57315688818482
"Ywhah",2,1.15167639151896,-0.648164656431891,-0.50351173508707
"Ywhaz",2,1.14221145850932,-0.424426698587341,-0.717784759921982
"Pgp",2,1.14234645771511,-0.425284819759026,-0.717061637956087
"Ywhae",2,1.14712496567612,-0.459202372476434,-0.687922593199685
"Ppp1cb",2,1.15001242689069,-0.484986418412634,-0.66502600847806
"Myl6",2,1.1518743937612,-0.5060155568258,-0.645858836935397
"Ctnnb1",2,-0.172200406824519,1.0749178129425,-0.902717406117983
"Pygb",2,-0.836465305093277,1.10761233387719,-0.27114702878391
"Camk2d",2,-0.556666527266923,-0.597789891559595,1.15445641882652
"Ttn",2,-0.822995275747527,-0.289935952762541,1.11293122851007
"Ttn",2,-1.12798446313772,0.350127114754721,0.777857348383003
"Ryr2",2,-1.10891903064868,0.275669383506696,0.833249647141981
"Ttn",2,-1.15149552570138,0.501292805210058,0.650202720491327
"Gnb2",2,-1.15432295849164,0.602732568865493,0.551590389626143
"Flnc",2,-1.15448250244666,0.596673535143989,0.557808967302671
"Myl9",3,0.97754295285891,0.0434947459507679,-1.02103769880968
"Naca",3,1.01636830751785,-0.0335826392175419,-0.982785668300309
"Myl1",3,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",3,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",3,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Myl4",3,1.12481350165951,-0.33636264039256,-0.788450861266957
"Cfl1",3,1.1334765696825,-0.375889786063821,-0.757586783618677
"Myl3",3,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl2",3,1.10829593899404,-0.27350569950371,-0.834790239490325
"Vim",3,1.14198621589361,-0.718981661665492,-0.423004554228114
"Myl6",3,1.1518743937612,-0.5060155568258,-0.645858836935397
"Ctnnb1",3,-0.172200406824519,1.0749178129425,-0.902717406117983
"Actn2",3,-1.13177248933855,0.764174606108657,0.367597883229893
"Ppp2r1a",3,-1.14197785050119,0.422951964583647,0.719025885917545
"Flnc",3,-1.15448250244666,0.596673535143989,0.557808967302671
"Myh13",3,0.669363114029398,-1.14952188872555,0.480158774696152
"Acta1",3,0.998667758553626,-1.0013269380128,0.00265917945916958
"Dsp",3,-0.863110496355953,-0.232733998543763,1.09584449489972
"Myh6",3,-0.458151661181294,-0.688841808153485,1.14699346933479
"Myh7",3,-0.137760846421694,-0.923977301689797,1.06173814811149
"Calr",4,0.891362698809712,0.190010717855701,-1.08137341666541
"Myl9",4,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",4,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",4,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",4,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Acta1",4,0.998667758553626,-1.0013269380128,0.00265917945916958
"Tnni3",4,1.15469041045661,-0.58153352227179,-0.57315688818482
"Tpm4",4,1.15463689825001,-0.566819644445469,-0.58781725380454
"Tpm1",4,1.1493952533801,-0.478948404079746,-0.670446849300353
"Myl6",4,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myl4",4,1.12481350165951,-0.33636264039256,-0.788450861266957
"Tnnt2",4,1.13112136142622,-0.364505093140964,-0.76661626828525
"Myl3",4,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl2",4,1.10829593899404,-0.27350569950371,-0.834790239490325
"Ryr2",4,-1.10891903064868,0.275669383506696,0.833249647141981
"Atp2a2",4,-1.15192954061656,0.50672785752913,0.645201683087435
"Myh7",4,-0.137760846421694,-0.923977301689797,1.06173814811149
"Myh6",4,-0.458151661181294,-0.688841808153485,1.14699346933479
"Camk2d",4,-0.556666527266923,-0.597789891559595,1.15445641882652
