"","catnum","Control16","Rapa16","Pers16"
"Uchl3",2,1.15468414508909,-0.572013488313047,-0.582670656776041
"Psma5",2,1.10196543122011,-0.849737031556978,-0.252228399663127
"Hspb7",2,1.11073776065294,-0.828674973004207,-0.282062787648731
"Hspa9",2,1.11299916347686,-0.822816397908298,-0.290182765568564
"Usp12",2,1.11242170970073,-0.824331079450965,-0.288090630249767
"Hspe1",2,0.996313995558931,-1.00364568874104,0.0073316931821126
"Uchl1",2,1.00908558555748,-0.990659765085907,-0.0184258204715745
"Usp5",2,1.06693970454443,-0.915869839393008,-0.151069865151423
"Psme1",2,1.02815498510214,-0.969240095317613,-0.0589148897845277
"Dnajc6",2,1.04569962181011,-0.946977416360823,-0.0987222054492895
"Psmb1",2,0.892231936601331,-1.08089280190558,0.188660865304247
"Psma6",2,0.881665468023086,-1.08658771995569,0.204922251932603
"Psma2",2,0.965738286557963,-1.03105904778933,0.0653207612313692
"Skp1",2,0.938365947628284,-1.05193679083189,0.113570843203606
"Hspa5",2,0.930122429072756,-1.05764386716962,0.127521438096862
"Thop1",2,0.929039738240619,-1.05837496388447,0.129335225643853
"Dnajb8",2,0.559003505420822,-1.15450821594107,0.595504710520247
"Stub1",2,0.60394038241636,-1.15428586680325,0.550345484386893
"Hspa8",2,0.819836716334649,-1.11412061527264,0.294283898937986
"Dnajb5",2,0.772942948801369,-1.12938425422324,0.356441305421875
"B2m",2,0.789198416236221,-1.12458167013873,0.335383253902506
"Hspb2",2,0.78799885870597,-1.12495315498038,0.336954296274407
"Ttn",3,0.381143372103306,-1.13452470258706,0.753381330483752
"Cfl1",3,0.36270410915092,-1.13073832838806,0.768034219237143
"Arhgef6",3,0.354146253801577,-1.12887947442571,0.774733220624133
"Arpc1a",3,0.73419145238068,-1.13892613725119,0.40473468487051
"Ppp1cb",3,0.614044825429933,-1.15390594323852,0.539861117808589
"Pak7",3,0.661758019111313,-1.15036497228254,0.488606953171224
"Itga3",3,0.850925784313799,-1.10143920993176,0.250513425617961
"Flna",3,0.826943291681247,-1.11141404622732,0.284470754546067
"Mylpf",3,0.962273529645676,-1.03387742788956,0.0716038982438827
"Myl4",3,0.944102311261979,-1.04781423138554,0.103711920123563
"Cfl2",3,0.926526698700012,-1.06005578181463,0.133529083114618
"Myl6",3,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Kng1",3,1.07050873392921,-0.910098718577324,-0.160410015351886
"Myl2",3,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",3,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Myl1",3,1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",3,1.09392270576697,-0.867117307623679,-0.226805398143289
"Irs1",3,1.11773877408567,-0.809857483730886,-0.307881290354789
"Kl",3,1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",3,1.11277356604209,-0.823409709075114,-0.289363856966978
"Gsn",3,0.485676279676038,0.664404337959418,-1.15008061763546
"Cyfip2",3,0.680586206978505,0.467544634644439,-1.14813084162294
"Tln1",3,0.214445873513211,0.875380607659894,-1.0898264811731
"Msn",3,-0.0807782544363535,1.03793920375953,-0.957160949323178
"Actn1",3,-0.169789014747112,1.07402481620723,-0.90423580146012
"Myh7",3,-1.05779986627486,0.929891930790327,0.127907935484537
"Ttn",3,-0.875376030461621,1.08982880062147,-0.214452770159845
"Myh6",3,-0.937980820015238,1.0522090533676,-0.11422823335236
"Actn2",3,-0.942361751748441,1.04907857151871,-0.106716819770266
"Ttn",3,-0.979778570788602,1.01906360843689,-0.0392850376482888
"Ttn",3,-0.953847233229716,1.04051175678906,-0.0866645235593408
"Ptk2",3,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Tln2",3,-0.964172424536348,1.03233947379669,-0.0681670492603459
"Fgf1",3,-0.817862050066741,-0.296991244267911,1.11485329433465
"Apc2",3,-1.14270821288639,0.427606218975265,0.715101993911127
"Pygm",4,-0.489959667681397,1.15049330311333,-0.66053363543193
"Gnai2",4,-0.196086412570686,1.08351902491504,-0.887432612344352
"Pdia3",4,-0.129074027054845,1.05826983559525,-0.929195808540402
"Chp1",4,-1.1317731596021,0.367601087635796,0.7641720719663
"Ttn",4,-0.979778570788602,1.01906360843689,-0.0392850376482888
"Ryr2",4,-0.973978416270388,1.02413400563357,-0.0501555893631808
"Flnc",4,-0.974846463606154,1.02338571117634,-0.048539247570182
"Ptk2",4,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Ttn",4,-0.953847233229716,1.04051175678906,-0.0866645235593408
"Prkaca",4,-0.817433880890736,1.11501106315837,-0.297577182267637
"Dusp3",4,-0.919848363565387,1.06441507587007,-0.144566712304686
"Pygb",4,-0.872743382856147,1.09115351826859,-0.218410135412445
"Ttn",4,-0.875376030461621,1.08982880062147,-0.214452770159845
"Flna",4,0.826943291681247,-1.11141404622732,0.284470754546067
"Ppp1cb",4,0.614044825429933,-1.15390594323852,0.539861117808589
"Ywhaq",4,0.694242634254223,-1.14619601550507,0.451953381250842
"Nfkb2",4,0.165760327801689,-1.07252284451608,0.906762516714393
"Ttn",4,0.381143372103306,-1.13452470258706,0.753381330483752
"Akap12",4,0.487539804588875,-1.15026243078327,0.662722626194397
"Tnni3",4,0.919171868420346,-1.06484811478029,0.145676246359939
"Pgp",4,0.918350721511974,-1.06537166907849,0.147020947566513
"Prkag1",4,0.98416181310455,-1.0151192839397,0.0309574708351527
"Myl4",4,0.944102311261979,-1.04781423138554,0.103711920123563
"Mylpf",4,0.962273529645676,-1.03387742788956,0.0716038982438827
"Cnga2",4,1.08878290204803,-0.211354149575798,-0.877428752472228
"Ywhaz",4,1.03192375403491,-0.964682307122742,-0.0672414469121679
"Myl6",4,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Myl9",4,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Myl2",4,1.05624630311582,-0.932174893746487,-0.124071409369331
"Ywhae",4,1.06461658389943,-0.919533868280522,-0.145082715618913
"Ppp1r11",4,1.14064394787039,-0.725880767129237,-0.414763180741154
"Myl7",4,1.11277356604209,-0.823409709075114,-0.289363856966978
"Myl3",4,1.09392270576697,-0.867117307623679,-0.226805398143289
"Myl1",4,1.09762961956842,-0.859309437249099,-0.238320182319323
"Ywhag",4,1.09670992617065,-0.861277482855112,-0.23543244331554
"Ppp2r1a",5,-0.321244169245505,1.12114362930269,-0.79989946005718
"Actn1",5,-0.169789014747112,1.07402481620723,-0.90423580146012
"Ilk",5,-1.1415840392302,0.420494278344192,0.721089760886013
"Dsp",5,-1.07799040959541,0.897397921884564,0.180592487710843
"Myh7",5,-1.05779986627486,0.929891930790327,0.127907935484537
"Vim",5,-0.791179286699241,1.1239621457298,-0.332782859030553
"Ptk2",5,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Flnc",5,-0.974846463606154,1.02338571117634,-0.048539247570182
"Parva",5,-0.907489255355491,1.07208712060602,-0.164597865250529
"Myh6",5,-0.937980820015238,1.0522090533676,-0.11422823335236
"Ppp2r5a",5,-0.942053966905153,1.04930091730979,-0.107246950404638
"Actn2",5,-0.942361751748441,1.04907857151871,-0.106716819770266
"Vcl",5,0.615085112546088,-1.15385971209769,0.538774599551607
"Nfkb2",5,0.165760327801689,-1.07252284451608,0.906762516714393
"Cfl1",5,0.36270410915092,-1.13073832838806,0.768034219237143
"Arhgef6",5,0.354146253801577,-1.12887947442571,0.774733220624133
"Flna",5,0.826943291681247,-1.11141404622732,0.284470754546067
"Ilk",5,0.994655627432923,-1.00526003076123,0.0106044033283064
"Myl4",5,0.944102311261979,-1.04781423138554,0.103711920123563
"Cfl2",5,0.926526698700012,-1.06005578181463,0.133529083114618
"Irs1",5,1.11773877408567,-0.809857483730886,-0.307881290354789
"Kl",5,1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",5,1.11277356604209,-0.823409709075114,-0.289363856966978
"Myl6",5,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Myl2",5,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",5,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Myl1",5,1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",5,1.09392270576697,-0.867117307623679,-0.226805398143289
"Naca",5,1.06759256821554,-0.91482722933166,-0.152765338883879
"Fblim1",5,1.07690461861723,-0.899294839785074,-0.17760977883216
"Cfl1",6,0.36270410915092,-1.13073832838806,0.768034219237143
"Arhgef6",6,0.354146253801577,-1.12887947442571,0.774733220624133
"Sema6a",6,0.528484025918462,-1.15335869583149,0.624874669913023
"Pak7",6,0.661758019111313,-1.15036497228254,0.488606953171224
"Arpc1a",6,0.73419145238068,-1.13892613725119,0.40473468487051
"Dpysl2",6,0.853071239031455,-1.10048079225087,0.247409553219417
"Itga3",6,0.850925784313799,-1.10143920993176,0.250513425617961
"Myl4",6,0.944102311261979,-1.04781423138554,0.103711920123563
"Cfl2",6,0.926526698700012,-1.06005578181463,0.133529083114618
"Prkag1",6,0.98416181310455,-1.0151192839397,0.0309574708351527
"Mylpf",6,0.962273529645676,-1.03387742788956,0.0716038982438827
"Myl6",6,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Myl2",6,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",6,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Myl1",6,1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",6,1.09392270576697,-0.867117307623679,-0.226805398143289
"Irs1",6,1.11773877408567,-0.809857483730886,-0.307881290354789
"Gli2",6,1.1088084284945,-0.833524083971105,-0.2752843445234
"Kl",6,1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",6,1.11277356604209,-0.823409709075114,-0.289363856966978
"Gli2",6,0.428651374592749,0.714218064658702,-1.14286943925145
"Gnai2",6,-0.196086412570686,1.08351902491504,-0.887432612344352
"Pdia3",6,-0.129074027054845,1.05826983559525,-0.929195808540402
"Prkaca",6,-0.817433880890736,1.11501106315837,-0.297577182267637
"Ptk2",6,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Tuba8",6,-0.93466987801208,1.05452670014772,-0.119856822135636
"Adam9",6,-0.676582813410538,-0.472064547458153,1.14864736086869
"Chp1",6,-1.1317731596021,0.367601087635796,0.7641720719663
"Ablim1",6,-1.14690907586515,0.689427288066445,0.457481787798704
"Irs1",7,1.11773877408567,-0.809857483730886,-0.307881290354789
"Cttn",7,1.11072296947647,-0.828712657788627,-0.282010311687846
"Kl",7,1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",7,1.11277356604209,-0.823409709075114,-0.289363856966978
"Ilk",7,0.994655627432923,-1.00526003076123,0.0106044033283064
"Zyx",7,1.07265143574789,-0.90654750686129,-0.166103928886602
"Myl2",7,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",7,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Ttn",7,0.381143372103306,-1.13452470258706,0.753381330483752
"Itga2b",7,0.455350043792611,-1.14663761809571,0.691287574303099
"Pak7",7,0.661758019111313,-1.15036497228254,0.488606953171224
"Ppp1cb",7,0.614044825429933,-1.15390594323852,0.539861117808589
"Vcl",7,0.615085112546088,-1.15385971209769,0.538774599551607
"Itga3",7,0.850925784313799,-1.10143920993176,0.250513425617961
"Arpc1a",7,0.73419145238068,-1.13892613725119,0.40473468487051
"Capn7",7,1.02302095876963,-0.0477529043107819,-0.97526805445885
"Actn1",7,-0.169789014747112,1.07402481620723,-0.90423580146012
"Gsn",7,0.485676279676038,0.664404337959418,-1.15008061763546
"Tln1",7,0.214445873513211,0.875380607659894,-1.0898264811731
"Ttn",7,-0.953847233229716,1.04051175678906,-0.0866645235593408
"Actn2",7,-0.942361751748441,1.04907857151871,-0.106716819770266
"Ttn",7,-0.979778570788602,1.01906360843689,-0.0392850376482888
"Ptk2",7,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Tln2",7,-0.964172424536348,1.03233947379669,-0.0681670492603459
"Itgav",7,-0.823867088842085,1.11259913151816,-0.288732042676076
"Ttn",7,-0.875376030461621,1.08982880062147,-0.214452770159845
"Parva",7,-0.907489255355491,1.07208712060602,-0.164597865250529
"Ilk",7,-1.1415840392302,0.420494278344192,0.721089760886013
"Capn2",7,-1.10531656752919,0.841978978079946,0.263337589449245
"Arf5",7,-1.04879278162207,0.942756613481738,0.106036168140333
"Gnai2",8,-0.196086412570686,1.08351902491504,-0.887432612344352
"Msn",8,-0.0807782544363535,1.03793920375953,-0.957160949323178
"Clip1",8,-0.984204576029042,1.0150803127848,-0.0308757367557563
"Ptk2",8,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Vim",8,-0.791179286699241,1.1239621457298,-0.332782859030553
"Des",8,-0.627379490141414,1.15321117512025,-0.525831684978829
"Myl6",8,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Clip1",8,1.01796625958237,-0.98100910446197,-0.0369571551204043
"Myl2",8,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",8,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Stmn1",8,1.07651017183576,-0.899979272903767,-0.176530898931998
"Myl1",8,1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",8,1.09392270576697,-0.867117307623679,-0.226805398143289
"Cdh13",8,1.12888583124841,-0.77471080429229,-0.354175026956124
"Irs1",8,1.11773877408567,-0.809857483730886,-0.307881290354789
"Kl",8,1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",8,1.11277356604209,-0.823409709075114,-0.289363856966978
"Nfkb2",8,0.165760327801689,-1.07252284451608,0.906762516714393
"Cfl1",8,0.36270410915092,-1.13073832838806,0.768034219237143
"Arhgef6",8,0.354146253801577,-1.12887947442571,0.774733220624133
"Arpc1a",8,0.73419145238068,-1.13892613725119,0.40473468487051
"Pak7",8,0.661758019111313,-1.15036497228254,0.488606953171224
"Pard6a",8,0.694190283488496,-1.14620395018814,0.452013666699647
"Itga3",8,0.850925784313799,-1.10143920993176,0.250513425617961
"Mylpf",8,0.962273529645676,-1.03387742788956,0.0716038982438827
"Cfl2",8,0.926526698700012,-1.06005578181463,0.133529083114618
"Clip1",8,0.938751051211152,-1.05166398323415,0.112912932023001
"Myl4",8,0.944102311261979,-1.04781423138554,0.103711920123563
"Chp1",9,-1.1317731596021,0.367601087635796,0.7641720719663
"Atp2a2",9,-0.814352533143418,1.11613498456746,-0.301782451424039
"Prkaca",9,-0.817433880890736,1.11501106315837,-0.297577182267637
"Myh7",9,-1.05779986627486,0.929891930790327,0.127907935484537
"Myh6",9,-0.937980820015238,1.0522090533676,-0.11422823335236
"Ryr2",9,-0.973978416270388,1.02413400563357,-0.0501555893631808
"Letm1",9,-0.976206951946223,1.02220551699982,-0.045998565053599
"Casq2",9,0.892267985139682,0.188604837202751,-1.08087282234243
"Tpm3",9,0.500916225492695,0.650548103258078,-1.15146432875077
"Prkag1",9,0.98416181310455,-1.0151192839397,0.0309574708351527
"Tnnt2",9,0.966491959231617,-1.0304387880074,0.0639468287757789
"Myl4",9,0.944102311261979,-1.04781423138554,0.103711920123563
"Tnni3",9,0.919171868420346,-1.06484811478029,0.145676246359939
"Calr",9,1.15410368367601,-0.609200177628495,-0.544903506047516
"Tpm2",9,1.02913025624827,-0.968071673562873,-0.0610585826853971
"Myl6",9,1.02840539329137,-0.968940819400878,-0.0594645738904923
"Myl2",9,1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",9,1.04512816350838,-0.947746797043989,-0.0973813664643867
"Tnnc1",9,1.07019839293689,-0.910607584945278,-0.159590807991616
"Tpm1",9,1.07907444970292,-0.895484902184453,-0.183589547518468
"Tpm4",9,1.08102026991334,-0.89200178781257,-0.189018482100766
"Myl7",9,1.11277356604209,-0.823409709075114,-0.289363856966978
"Myl1",9,1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",9,1.09392270576697,-0.867117307623679,-0.226805398143289
"Prkaca",10,-0.817433880890736,1.11501106315837,-0.297577182267637
"Ppp2r5a",10,-0.942053966905153,1.04930091730979,-0.107246950404638
"Ptk2",10,-0.96606744704038,1.03078847322727,-0.0647210261868868
"Tln2",10,-0.964172424536348,1.03233947379669,-0.0681670492603459
"Tln1",10,0.214445873513211,0.875380607659894,-1.0898264811731
"Hspb1",10,-0.497585711416516,1.15118209813394,-0.653596386717421
"Ppp2r1a",10,-0.321244169245505,1.12114362930269,-0.79989946005718
"Itga3",10,0.850925784313799,-1.10143920993176,0.250513425617961
"Hspb2",10,0.78799885870597,-1.12495315498038,0.336954296274407
"Lamtor3",10,0.709929380822917,-1.14363458693553,0.433705206112615
"Ywhaq",10,0.694242634254223,-1.14619601550507,0.451953381250842
"Ppp1cb",10,0.614044825429933,-1.15390594323852,0.539861117808589
"Pak7",10,0.661758019111313,-1.15036497228254,0.488606953171224
"Ywhaz",10,1.03192375403491,-0.964682307122742,-0.0672414469121679
"Prkag1",10,0.98416181310455,-1.0151192839397,0.0309574708351527
"Eif4ebp1",10,0.93545681754861,-1.05397955536284,0.118522737814228
"Ppp1r11",10,1.14064394787039,-0.725880767129237,-0.414763180741154
"Ywhag",10,1.09670992617065,-0.861277482855112,-0.23543244331554
"Irs1",10,1.11773877408567,-0.809857483730886,-0.307881290354789
"Kl",10,1.11287781916109,-0.823135778168174,-0.289742040992912
"Mos",10,1.10915889590038,-0.83265301327739,-0.276505882622994
"Hspb7",10,1.11073776065294,-0.828674973004207,-0.282062787648731
